,City,Cloudiness,Date,Humidity,Lat,Long,Max Temps,Wind Speed,Country
0,kavieng,100,1666727450,77,-2.5744,150.7967,82.09,77,PG
1,shingu,0,1666727385,74,33.7333,135.9833,49.78,74,JP
2,luderitz,100,1666727261,62,-26.6481,15.1594,64.45,62,NA
3,upernavik,100,1666727451,94,72.7868,-56.1549,23.72,94,GL
4,cabo san lucas,16,1666727402,57,22.8909,-109.9124,88.61,57,MX
5,mar del plata,0,1666727452,82,-38.0023,-57.5575,69.82,82,AR
6,mataura,100,1666727452,69,-46.1927,168.8643,45.48,69,NZ
7,kaohsiung,75,1666727453,81,22.6163,120.3133,76.03,81,TW
8,carndonagh,100,1666727453,92,55.25,-7.2667,56.82,92,IE
9,beringovskiy,98,1666727454,83,63.05,179.3167,21.16,83,RU
10,ushuaia,0,1666727164,40,-54.8,-68.3,49.62,40,AR
11,gavle,100,1666727454,99,60.6745,17.1417,47.34,99,SE
12,cape town,20,1666727225,86,-33.9258,18.4232,61.27,86,ZA
13,vaini,100,1666727222,64,-21.2,-175.2,71.76,64,TO
14,rikitea,57,1666727203,73,-23.1203,-134.9692,72.97,73,PF
15,hwange,39,1666727455,32,-18.3693,26.5019,83.59,32,ZW
16,new norfolk,100,1666727456,86,-42.7826,147.0587,54.91,86,AU
17,albany,99,1666726987,89,42.6001,-73.9662,71.38,89,US
18,nabire,100,1666727456,90,-3.3667,135.4833,74.98,90,ID
19,eregli,0,1666727457,42,37.5133,34.0467,52.88,42,TR
20,carnarvon,0,1666727404,68,-24.8667,113.6333,64.18,68,AU
21,henties bay,76,1666727457,93,-22.116,14.2845,58.66,93,NA
22,hermanus,100,1666727458,79,-34.4187,19.2345,58.8,79,ZA
23,busselton,51,1666727203,88,-33.65,115.3333,52.79,88,AU
24,cayenne,75,1666727458,70,4.9333,-52.3333,87.84,70,GF
25,san juan,95,1666727212,19,-31.5375,-68.5364,89.46,19,AR
26,renfrew,75,1666727459,88,55.872,-4.3925,56.16,88,GB
27,mount isa,75,1666727459,94,-20.7333,139.5,73.17,94,AU
28,bredasdorp,100,1666727460,72,-34.5322,20.0403,61.48,72,ZA
29,kapaa,40,1666727237,77,22.0752,-159.319,82.72,77,US
30,chuy,2,1666727286,69,-33.6971,-53.4616,65.86,69,UY
31,itaituba,20,1666727461,70,-4.2761,-55.9836,87.96,70,BR
32,berlevag,0,1666727461,60,70.8578,29.0864,33.75,60,NO
33,maningrida,50,1666727462,79,-12.0667,134.2667,82.76,79,AU
34,barrow,100,1666727462,86,71.2906,-156.7887,17.62,86,US
35,mbuji-mayi,80,1666727464,86,-6.15,23.6,72.14,86,CD
36,ribeira grande,40,1666727246,63,38.5167,-28.7,64.8,63,PT
37,benguela,73,1666727465,77,-12.5763,13.4055,77.54,77,AO
38,sulangan,100,1666727467,74,11.1373,123.7228,82.85,74,PH
39,atuona,3,1666727468,73,-9.8,-139.0333,76.89,73,PF
40,ixtapa,11,1666727468,74,20.7,-105.2,86.23,74,MX
41,hervey bay,6,1666727407,97,-25.2986,152.8535,75.02,97,AU
42,punta arenas,0,1666727469,41,-53.15,-70.9167,55.51,41,CL
43,kijang,50,1666727470,58,35.2442,129.2139,47.93,58,KR
44,ancud,69,1666727470,76,-41.8697,-73.8203,54.72,76,CL
45,vila franca do campo,100,1666727274,70,37.7167,-25.4333,64.81,70,PT
46,amapa,100,1666727471,35,1.0,-52.0,94.64,35,BR
47,willowmore,86,1666727472,52,-33.2926,23.4895,56.21,52,ZA
48,yellowknife,99,1666727472,85,62.456,-114.3525,23.56,85,CA
49,kuli,0,1666727473,60,42.0185,47.2434,33.35,60,RU
50,bluff,100,1666727442,76,-46.6,168.3333,45.81,76,NZ
51,maroantsetra,99,1666727474,86,-15.4333,49.7333,72.01,86,MG
52,port keats,22,1666727474,78,-14.25,129.55,82.26,78,AU
53,nuuk,82,1666727475,81,64.1835,-51.7216,32.88,81,GL
54,kloulklubed,100,1666727476,78,7.0419,134.2556,84.0,78,PW
55,rocha,9,1666727476,66,-34.4833,-54.3333,69.12,66,UY
56,lompoc,0,1666727476,60,34.6391,-120.4579,81.7,60,US
57,faya,24,1666727477,72,18.3851,42.4509,64.51,72,SA
58,east london,100,1666727478,70,-33.0153,27.9116,65.5,70,ZA
59,luanda,20,1666727282,83,-8.8368,13.2343,78.8,83,AO
60,kabansk,4,1666727478,60,52.0486,106.6528,25.9,60,RU
61,tallahassee,75,1666727480,72,30.4383,-84.2807,84.4,72,US
62,bilibino,13,1666727224,99,68.0546,166.4372,-15.95,99,RU
63,knysna,100,1666727481,86,-34.0363,23.0471,59.23,86,ZA
64,kodiak,100,1666727262,81,57.79,-152.4072,42.31,81,US
65,nizhniy odes,93,1666727482,98,63.6445,54.856,20.7,98,RU
66,butaritari,42,1666727258,77,3.0707,172.7902,81.05,77,KI
67,provideniya,93,1666727300,86,64.3833,-173.3,22.57,86,RU
68,la ronge,100,1666727484,58,55.1001,-105.2842,34.11,58,CA
69,itarema,76,1666727484,71,-2.9248,-39.9167,80.51,71,BR
70,beroroha,61,1666727485,50,-21.6667,45.1667,78.58,50,MG
71,jamestown,0,1666727485,41,42.097,-79.2353,76.59,41,US
72,avarua,75,1666727486,69,-21.2078,-159.775,75.25,69,CK
73,tucumcari,0,1666727487,22,35.1717,-103.725,64.94,22,US
74,klaksvik,100,1666727488,93,62.2266,-6.589,50.92,93,FO
75,talnakh,95,1666727489,98,69.4865,88.3972,8.55,98,RU
76,hasaki,100,1666727489,57,35.7333,140.8333,53.22,57,JP
77,ust-ilimsk,73,1666727490,70,58.0006,102.6619,28.53,70,RU
78,hilo,20,1666727490,69,19.7297,-155.09,82.11,69,US
79,leningradskiy,73,1666727491,91,69.3833,178.4167,1.6,91,RU
80,clyde river,31,1666727491,88,70.4692,-68.5914,0.0,88,CA
81,honningsvag,100,1666727492,69,70.9821,25.9704,35.35,69,NO
82,zhangjiakou,100,1666727492,48,40.81,114.8794,52.02,48,CN
83,weihai,100,1666727493,68,37.5017,122.1136,54.25,68,CN
84,castro,0,1666727493,64,-24.7911,-50.0119,72.82,64,BR
85,dingle,100,1666727493,92,10.9995,122.6711,76.06,92,PH
86,sao filipe,69,1666727222,79,14.8961,-24.4956,78.08,79,CV
87,ahipara,54,1666727494,71,-35.1667,173.1667,60.57,71,NZ
88,viedma,97,1666727495,26,-40.8135,-62.9967,78.87,26,AR
89,canavieiras,100,1666727496,81,-15.675,-38.9472,75.29,81,BR
90,hithadhoo,53,1666727497,75,-0.6,73.0833,81.77,75,MV
91,victoria,100,1666727497,72,22.2855,114.1577,73.45,72,HK
92,kahului,20,1666727498,63,20.8947,-156.47,86.02,63,US
93,conceicao do araguaia,100,1666727498,85,-8.2578,-49.2647,78.64,85,BR
94,thompson,100,1666727499,94,55.7435,-97.8558,26.94,94,CA
95,qaanaaq,100,1666727499,93,77.484,-69.3632,24.08,93,GL
96,arraial do cabo,40,1666727500,73,-22.9661,-42.0278,76.96,73,BR
97,iqaluit,100,1666727500,79,63.7506,-68.5145,20.7,79,CA
98,kruisfontein,100,1666727500,76,-34.0033,24.7314,62.89,76,ZA
99,bambous virieux,40,1666727501,83,-20.3428,57.7575,73.22,83,MU
100,sao felix do xingu,100,1666727501,95,-6.6447,-51.995,77.2,95,BR
101,port moresby,40,1666727502,89,-9.4431,147.1797,78.22,89,PG
102,lebu,88,1666727236,82,-37.6167,-73.65,57.09,82,CL
103,coihaique,75,1666727503,67,-45.5752,-72.0662,59.61,67,CL
104,pemangkat,100,1666727434,89,1.1667,108.9667,77.07,89,ID
105,ampanihy,100,1666727503,78,-24.7,44.75,71.42,78,MG
106,yaan,88,1666727504,88,7.3833,8.5667,76.5,88,NG
107,souillac,40,1666727504,83,-20.5167,57.5167,71.98,83,MU
108,mao,0,1666727505,88,39.8885,4.2658,70.36,88,ES
109,umm lajj,0,1666727505,63,25.0213,37.2685,78.91,63,SA
110,hami,100,1666727505,39,42.8,93.45,50.43,39,CN
111,acapulco,53,1666727435,81,16.8634,-99.8901,83.59,81,MX
112,marsa matruh,20,1666727506,68,31.3525,27.2453,71.8,68,EG
113,capim grosso,94,1666727507,65,-11.3811,-40.0128,79.38,65,BR
114,slavonice,8,1666727507,90,48.9975,15.3515,48.7,90,CZ
115,port alfred,100,1666727507,87,-33.5906,26.891,60.19,87,ZA
116,tasiilaq,100,1666727285,94,65.6145,-37.6368,33.96,94,GL
117,mount pleasant,0,1666727302,74,32.7941,-79.8626,78.06,74,US
118,georgetown,20,1666727509,94,5.4112,100.3354,77.23,94,MY
119,guerrero negro,0,1666727340,30,27.9769,-114.0611,77.4,30,MX
120,fairbanks,0,1666727282,88,64.8378,-147.7164,23.22,88,US
121,usinsk,86,1666727511,93,65.9939,57.5281,21.33,93,RU
122,cherskiy,42,1666727511,92,68.75,161.3,-4.85,92,RU
123,milkovo,51,1666727512,69,54.7167,158.6167,24.73,69,RU
124,sur,0,1666727512,49,22.5667,59.5289,80.69,49,OM
125,muisne,100,1666727513,77,0.6,-80.0333,76.87,77,EC
126,lagoa,18,1666727513,64,39.05,-27.9833,63.43,64,PT
127,hobart,75,1666727514,96,-42.8794,147.3294,55.26,96,AU
128,aksu,13,1666727514,32,41.1231,80.2644,50.05,32,CN
129,sarakhs,100,1666727515,49,36.5449,61.1577,64.62,49,IR
130,pevek,12,1666727515,92,69.7008,170.3133,-0.09,92,RU
131,sarangani,100,1666727515,78,5.4033,125.4636,83.07,78,PH
132,arsk,97,1666727516,90,56.0915,49.8778,30.16,90,RU
133,port-cartier,100,1666727516,82,50.0334,-66.8654,47.75,82,CA
134,port elizabeth,75,1666727517,81,-33.918,25.5701,65.1,81,ZA
135,pitimbu,83,1666727517,74,-7.4706,-34.8086,81.19,74,BR
136,tuktoyaktuk,65,1666727518,94,69.4541,-133.0374,11.21,94,CA
137,kaitangata,100,1666727255,64,-46.2817,169.8464,48.54,64,NZ
138,tonantins,100,1666727518,76,-2.8731,-67.8022,83.1,76,BR
139,tuatapere,100,1666727519,73,-46.1333,167.6833,50.36,73,NZ
140,paamiut,13,1666727519,73,61.994,-49.6678,31.66,73,GL
141,mbini,100,1666727520,89,1.574,9.6134,76.17,89,GQ
142,northam,100,1666727520,90,51.0333,-4.2167,60.39,90,GB
143,nome,0,1666727521,74,64.5011,-165.4064,28.47,74,US
144,lavrentiya,99,1666727336,77,65.5833,-171.0,26.31,77,RU
145,campo grande,40,1666727521,27,-20.4428,-54.6464,92.75,27,BR
146,tiksi,100,1666727522,91,71.6872,128.8694,17.64,91,RU
147,bathsheba,40,1666727524,83,13.2167,-59.5167,83.01,83,BB
148,byron bay,22,1666727524,77,-28.65,153.6167,70.95,77,AU
149,dikson,100,1666727525,86,73.5069,80.5464,23.09,86,RU
150,urucara,100,1666727526,46,-2.5364,-57.76,92.07,46,BR
151,havoysund,100,1666727316,58,70.9963,24.6622,35.83,58,NO
152,beitbridge,3,1666727527,35,-22.2167,30.0,85.35,35,ZW
153,mehamn,75,1666727528,74,71.0357,27.8492,33.71,74,NO
154,port blair,85,1666727528,81,11.6667,92.75,79.77,81,IN
155,nikolskoye,100,1666727529,81,59.7035,30.7861,35.49,81,RU
156,iquique,9,1666727530,64,-20.2208,-70.1431,64.44,64,CL
157,nakusp,100,1666727530,93,50.2499,-117.8023,46.47,93,CA
158,ionia,100,1666727531,57,42.9873,-85.0711,71.62,57,US
159,saint-philippe,39,1666727532,80,-21.3585,55.7679,69.39,80,RE
160,katsuura,100,1666727533,73,35.1333,140.3,56.93,73,JP
161,wankaner,0,1666727533,63,22.6167,70.9333,76.28,63,IN
162,chamalieres,0,1666727535,52,45.7756,3.0631,65.12,52,FR
163,caraballeda,20,1666727252,66,10.6112,-66.8522,89.67,66,VE
164,harper,36,1666727277,89,4.375,-7.7169,77.7,89,LR
165,borujerd,100,1666727536,40,33.8973,48.7516,62.83,40,IR
166,esperance,43,1666727537,80,-33.8667,121.9,56.12,80,AU
167,abha,40,1666727537,72,18.2164,42.5053,64.22,72,SA
168,ponta delgada,40,1666727238,63,37.7333,-25.6667,65.12,63,PT
169,ust-ishim,100,1666727538,92,57.6935,71.1665,34.61,92,RU
170,alofi,80,1666727538,60,-19.0595,-169.9187,75.09,60,NU
171,necochea,100,1666727539,75,-38.5473,-58.7368,64.38,75,AR
172,grand gaube,0,1666727540,69,-20.0064,57.6608,73.38,69,MU
173,cidreira,0,1666727540,75,-30.1811,-50.2056,67.95,75,BR
174,vagur,98,1666727541,90,61.4732,-6.8119,50.05,90,FO
175,yagodnoye,1,1666727542,75,62.55,149.6667,6.85,75,RU
176,bethel,100,1666727184,88,41.3712,-73.414,72.77,88,US
177,clonmel,100,1666727542,97,52.355,-7.7039,58.5,97,IE
178,the valley,20,1666727543,79,18.217,-63.0578,87.66,79,AI
179,youghal,100,1666727544,97,51.95,-7.8506,58.21,97,IE
180,mahanoro,96,1666727544,85,-19.9,48.8,72.3,85,MG
181,kibondo,99,1666727545,54,-3.5864,30.7203,68.95,54,TZ
182,trinidad,75,1666727545,58,-14.8333,-64.9,91.38,58,BO
183,deputatskiy,100,1666727547,88,69.3,139.9,13.68,88,RU
184,riyadh,0,1666727412,16,24.6877,46.7219,77.14,16,SA
185,barentu,6,1666727548,51,15.1139,37.5928,79.05,51,ER
186,el alto,93,1666727548,71,-4.2714,-81.2147,68.32,71,PE
187,sao joao do piaui,98,1666727550,71,-8.3581,-42.2467,80.65,71,BR
188,sao joao da barra,9,1666727446,81,-21.6403,-41.0511,73.49,81,BR
189,chaumont,100,1666727550,80,48.1167,5.1333,57.36,80,FR
190,ibipeba,100,1666727551,79,-11.6408,-42.0111,73.38,79,BR
191,puerto colombia,96,1666727551,80,10.9878,-74.9547,78.89,80,CO
192,nalut,0,1666727552,24,30.3333,10.85,71.91,24,LY
193,tahta,6,1666727552,33,26.7693,31.5021,71.33,33,EG
194,upata,99,1666727553,82,8.0086,-62.3989,79.75,82,VE
195,roma,20,1666727283,74,43.2128,-75.4557,74.57,74,US
196,alice springs,2,1666727553,68,-23.7,133.8833,67.55,68,AU
197,rio grande,0,1666727554,73,-32.035,-52.0986,75.31,73,BR
198,surovikino,60,1666727556,67,48.6078,42.8486,45.64,67,RU
199,severo-kurilsk,5,1666727413,66,50.6789,156.125,36.99,66,RU
200,abu dhabi,0,1666727262,67,24.4667,54.3667,84.22,67,AE
201,komsomolskiy,40,1666727556,82,40.4272,71.7189,56.12,82,UZ
202,bokovskaya,100,1666727557,76,49.229,41.8306,45.86,76,RU
203,upornaya,99,1666727558,83,44.3914,41.0196,46.45,83,RU
204,takoradi,90,1666727558,86,4.8845,-1.7554,78.3,86,GH
205,tura,41,1666727558,96,25.5198,90.2201,64.24,96,IN
206,sabla,100,1666727559,26,12.7525,4.7077,85.33,26,NG
207,fort nelson,68,1666727559,64,58.8053,-122.7002,28.69,64,CA
208,kitgum,100,1666727560,73,3.2783,32.8867,71.91,73,UG
209,sioux falls,20,1666727314,42,43.55,-96.7003,56.08,42,US
210,martapura,75,1666727560,100,-3.4167,114.85,77.09,100,ID
211,peniche,0,1666727534,89,39.3558,-9.3811,67.28,89,PT
212,vilcun,100,1666727561,50,-38.65,-72.2333,61.54,50,CL
213,itoman,75,1666727562,65,26.1247,127.6694,71.62,65,JP
214,balikpapan,20,1666727562,94,-1.2675,116.8289,76.19,94,ID
215,chebsara,100,1666727563,66,59.2002,38.8356,33.13,66,RU
216,tiznit,100,1666727564,15,29.5833,-9.5,82.35,15,MA
217,sitka,20,1666727564,81,57.0531,-135.33,44.49,81,US
218,ambon,20,1666727565,94,-3.6954,128.1814,78.94,94,ID
219,saint george,0,1666727447,31,37.1041,-113.5841,60.8,31,US
220,tiarei,100,1666727566,85,-17.5333,-149.3333,82.42,85,PF
221,valladolid,91,1666727566,74,41.5833,-4.6667,61.29,74,ES
222,padang,100,1666727567,94,-0.9492,100.3543,75.31,94,ID
223,greencastle,100,1666727567,92,39.6445,-86.8647,64.26,92,US
224,lorengau,100,1666727568,72,-2.0226,147.2712,80.96,72,PG
225,llata,91,1666727568,60,-9.4167,-76.7833,64.83,60,PE
226,tilichiki,60,1666727568,85,60.4667,166.1,20.26,85,RU
227,salalah,0,1666727569,66,17.0151,54.0924,76.05,66,OM
228,belaya gora,100,1666727569,93,68.5333,146.4167,11.77,93,RU
229,longyearbyen,40,1666727570,67,78.2186,15.6401,17.44,67,SJ
230,saldanha,37,1666727570,91,-33.0117,17.9442,59.05,91,ZA
231,honiara,8,1666727368,84,-9.4333,159.95,79.48,84,SB
232,abu kamal,100,1666727571,21,34.4506,40.9171,73.69,21,SY
233,wajir,100,1666727571,54,1.7471,40.0573,84.38,54,KE
234,fredericksburg,0,1666727130,72,38.3032,-77.4605,73.2,72,US
235,rio gallegos,0,1666727572,37,-51.6226,-69.2181,53.65,37,AR
236,azuaga,100,1666727572,66,38.2667,-5.6833,64.96,66,ES
237,khatanga,88,1666727573,97,71.9667,102.5,5.85,97,RU
238,emerald,5,1666727573,41,-23.5333,148.1667,69.48,41,AU
239,ponta do sol,60,1666727573,86,32.6667,-17.1,72.23,86,PT
240,mahebourg,40,1666727574,83,-20.4081,57.7,73.26,83,MU
241,kyren,0,1666727574,53,51.6828,102.1408,25.65,53,RU
242,emirdag,0,1666727575,50,39.0197,31.15,51.51,50,TR
243,camocim,94,1666727575,65,-2.9022,-40.8411,82.22,65,BR
244,marawi,87,1666727576,94,7.9986,124.2928,68.43,94,PH
245,waddan,0,1666727576,38,29.1614,16.139,71.56,38,LY
246,manawar,0,1666727577,43,22.2333,75.0833,71.96,43,IN
247,vao,100,1666727577,75,-22.6667,167.4833,73.13,75,NC
248,antofagasta,6,1666727325,68,-23.65,-70.4,61.88,68,CL
249,zambezi,45,1666727578,42,-13.5432,23.1047,74.73,42,ZM
250,chervone,100,1666727579,97,49.9564,28.8645,52.7,97,UA
251,flinders,57,1666727579,89,-34.5833,150.8552,65.05,89,AU
252,chaplynka,100,1666727580,79,46.3651,33.5403,57.87,79,UA
253,san patricio,0,1666727580,21,28.017,-97.5169,77.16,21,US
254,faanui,99,1666727427,79,-16.4833,-151.75,79.72,79,PF
255,yerbogachen,100,1666727581,92,61.2767,108.0108,27.54,92,RU
256,zhigansk,100,1666727582,93,66.7697,123.3711,7.38,93,RU
257,newport,100,1666727414,87,51.5877,-2.9984,59.77,87,GB
258,ascension,75,1666727583,55,30.2169,-90.9001,80.08,55,US
259,dobryanka,95,1666727584,87,58.4619,56.4165,31.1,87,RU
260,namibe,38,1666727584,84,-15.1961,12.1522,69.53,84,AO
261,mvangue,100,1666727585,98,2.9667,11.5167,67.75,98,CM
262,airai,100,1666727585,93,-8.9266,125.4092,61.63,93,TL
263,vardo,0,1666727586,80,70.3705,31.1107,30.18,80,NO
264,east wenatchee bench,95,1666727587,56,47.4257,-120.2812,56.28,56,US
265,cururupu,99,1666727587,69,-1.8283,-44.8683,81.66,69,BR
266,chiredzi,1,1666727588,42,-21.05,31.6667,82.44,42,ZW
267,puerto ayora,87,1666727588,88,-0.7393,-90.3518,76.96,88,EC
268,saint-augustin,37,1666727589,81,51.226,-58.6502,52.38,81,CA
269,saskylakh,86,1666727590,100,71.9167,114.0833,-3.73,100,RU
270,atasu,100,1666727590,22,48.6814,71.6433,39.94,22,KZ
271,caconda,100,1666727590,85,-13.7333,15.0667,64.62,85,AO
272,litovko,6,1666727591,75,49.2361,135.1742,32.7,75,RU
273,kuching,20,1666727592,94,1.55,110.3333,75.42,94,MY
274,pampa,0,1666727592,29,35.5362,-100.9599,63.57,29,US
275,chinhoyi,97,1666727593,37,-17.3667,30.2,78.96,37,ZW
276,kavaratti,96,1666727593,61,10.5669,72.642,82.13,61,IN
277,jumla,1,1666727594,77,29.2747,82.1838,42.91,77,NP
